Sample,CTTN,HNRNPK,PSMC6
Sample1,0.11,0,0.72
Sample2,0.13,0.6,0.94
Sample3,0.11,1.14,0.56
Sample4,0.15,1.65,0.44
Sample5,0.26,0.1,0.6
Sample6,0.12,0,1.23
Sample7,2.77,1.86,0.56
Sample8,0.13,0.51,0.54
Sample9,0.14,0,0.92
Sample10,0.11,0.62,0.84
Sample11,0.17,0,0.63
Sample12,0.39,2.37,0.91
Sample13,0.23,1.32,0.77
Sample14,0.12,0.77,0.89
Sample15,0.26,0.1,0.6
Sample16,0.11,0.55,0.47
Sample17,0.13,2.05,0.44
Sample18,0.37,2.39,0.96
Sample19,0.11,0.44,0.26
Sample20,0.13,0.68,0.34
Sample21,0.11,1.42,0.46
Sample22,0.18,0.11,0.51
Sample23,0.2,0.06,0.65
Sample24,0.18,0.26,0.59
Sample25,0.22,0.09,0.89
Sample26,0.93,18.58,3.64
Sample27,0.15,0,0.47
Sample28,0.19,0.22,0.9
Sample29,0.16,0.21,0.58
Sample30,0.21,0.89,0.83
Sample31,0.21,0.21,0.7
Sample32,0.28,0.34,0.97
Sample33,0.2,0.19,0.82
Sample34,0.32,1.49,1.32
Sample35,0.24,0.78,1.13
Sample36,0.16,0.14,0.29
Sample37,0.18,0.08,0.58
Sample38,0.22,0.31,0.68
Sample39,0.27,0.24,0.66
Sample40,0.18,0,0.24
Sample41,0.22,0.04,0.65
Sample42,0.19,0.38,0.65
Sample43,0.25,0.43,1.16
Sample44,0.18,0,0.05
Sample45,0.19,0.01,0.65
Sample46,0.12,1.83,0.6
Sample47,0.11,1.85,0.61
Sample48,0.15,1.81,0.49
Sample49,0.12,0.98,0.59
Sample50,0.12,1.51,0.46
Sample51,0.14,0.58,0.27
Sample52,0.11,0.12,0.35
Sample53,0.11,0.88,0.58
Sample54,0.1,2.27,0.58
Sample55,0.12,1.41,0.41
Sample56,0.16,1.9,0.51
Sample57,2.58,1.36,7.8
Sample58,0.14,0.48,0.47
Sample59,0.11,0,0.46
Sample60,0.11,1.32,0.58
Sample61,0.1,0.94,1.04
